Switch Group	ID	Name			Wwise Object Path	Notes
	176638663	onmap_city_popcount_tribesmen			\sw_city_audio\onmap_city_popcount_tribesmen	
	188001396	mas_birds_coast			\Ambience\mas_birds_coast	
	420033241	onmap_city_popcount_nobles			\sw_city_audio\onmap_city_popcount_nobles	
	583705497	mus_boredom			\Music\mus_boredom	
	750999141	mas_birds_forest			\Ambience\mas_birds_forest	
	963618736	onmap_city_popcount_burghers			\sw_city_audio\onmap_city_popcount_burghers	
	1051260856	mas_birds_wetlands			\Ambience\mas_birds_wetlands	
	1197567001	mas_averageclimatezone			\Ambience\mas_averageclimatezone	
	1228406134	mas_averagevegetationdensity			\Ambience\mas_averagevegetationdensity	
	1242709302	onmap_city_popcount_clergy			\sw_city_audio\onmap_city_popcount_clergy	
	1412170766	onmap_city_popcount_slaves			\sw_city_audio\onmap_city_popcount_slaves	
	1623835262	GlobalMonth			\Global\GlobalMonth	
	1658309788	MilitaryRelativePlayerStrength			\Military\MilitaryRelativePlayerStrength	
	1714085387	onmap_city_popcount_soldiers			\sw_city_audio\onmap_city_popcount_soldiers	
	2025144156	MilitaryRelativeThreat			\Military\MilitaryRelativeThreat	
	2179929030	mas_birds_field			\Ambience\mas_birds_field	
	2392355355	mas_birds_settlement			\Ambience\mas_birds_settlement	
	2414167480	PlayerActionCounter			\Global\PlayerActionCounter	
	3180534632	onmap_city_popcount_total			\sw_city_audio\onmap_city_popcount_total	
	3186494045	onmap_city_popcount_peasants			\sw_city_audio\onmap_city_popcount_peasants	
	3223137305	PlayerPrestige			\Global\PlayerPrestige	
	3836424184	onmap_city_popcount_laborers			\sw_city_audio\onmap_city_popcount_laborers	
	4118535133	isOceanOnScreenMuch			\Ambience\isOceanOnScreenMuch	
	4231425900	city_hasPort			\Ambience\city_hasPort	

Switch	ID	Name	Switch Group			Notes
	953185740	not_present	onmap_city_popcount_tribesmen			
	3524519058	present	onmap_city_popcount_tribesmen			
	979470758	yes	mas_birds_coast			
	1668749452	no	mas_birds_coast			
	953185740	not_present	onmap_city_popcount_nobles			
	3524519058	present	onmap_city_popcount_nobles			
	2381845804	boredom_high	mus_boredom			
	3931370606	boredom_low	mus_boredom			
	979470758	yes	mas_birds_forest			
	1668749452	no	mas_birds_forest			
	953185740	not_present	onmap_city_popcount_burghers			
	3524519058	present	onmap_city_popcount_burghers			
	979470758	yes	mas_birds_wetlands			
	1668749452	no	mas_birds_wetlands			
